sample,sample_code,year,state,field,city,lat,lon,cultivar,crop_system,previous_crop,substrate,FCSC,FFSC,FGSC,FIESC,n_isolates,Complex,n_complex,MON,DON,AcDON,DON_total,HT-2,T-2,NEO,ZEA,ENN B,ENN B1,ENN A1,ENN A,BEA,FUM B1,FUM B2
RF01,15GO001,2015,GO (29),1,Brazabrantes,-16.42875,-49.385889,BRS Esmeralda,High lands,soybean,flour,0,0,0,8,8,FIESC,NA,NA,NA,1.4,1.4,NA,NA,0.001,NA,NA,NA,NA,NA,3.8,NA,NA
RF02,15GO002,2015,GO (29),2,Brazabrantes,-16.42875,-49.385889,BRS Sertaneja,High lands,soybean,flour,0,1,0,0,1,FFSC,NA,NA,NA,3,3,0.6,NA,0.001,0.1,NA,NA,NA,NA,NA,NA,NA
RF03,15GO003,2015,GO (29),3,Brazabrantes,-16.42875,-49.385889,BRS Primavera,High lands,soybean,flour,0,1,0,3,4,FFSC+FIESC,NA,NA,NA,2.8,2.8,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.001,2.1
RF05,15GO005,2015,GO (29),5,Brazabrantes,-16.42875,-49.385889,BRS Esmeralda,High lands,soybean,flour,0,0,0,2,2,FIESC,NA,NA,NA,2.6,2.6,0.5,NA,NA,NA,NA,NA,NA,NA,21.4,NA,NA
RF06,15GO006,2015,GO (29),6,Brazabrantes,-16.42875,-49.385889,BRS Sertaneja,High lands,soybean,flour,0,0,0,5,5,FIESC,NA,NA,NA,6.8,6.8,2.8,0.9,NA,73.2,0.001,2.4,0.001,0.001,53.2,NA,NA
RF07,15GO008,2015,GO (29),8,Brazabrantes,-16.42875,-49.385889,AN Cambará,High lands,soybean,flour,0,1,0,1,2,FFSC+FIESC,NA,NA,NA,8.7,8.7,0.001,NA,0.001,1,0.001,0.001,NA,NA,14,NA,NA
RF08,15GO010,2015,GO (29),10,Brazabrantes,-16.42875,-49.385889,BRS MG Predileta,Irrigated,rice,flour,0,0,0,5,5,FIESC,NA,NA,NA,3.3,3.3,NA,NA,0.001,NA,NA,NA,NA,NA,27.4,NA,NA
RF10,15GO018,2015,GO (29),18,Brazabrantes,-16.42875,-49.385889,BRS Taim,Irrigated,rice,flour,0,0,0,0,0,None,NA,NA,NA,1.1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001
RF11,15GO019,2015,GO (29),19,Brazabrantes,-16.42875,-49.385889,SCS BRS Tio Taka,Irrigated,rice,flour,0,3,0,2,5,FFSC+FIESC,NA,NA,0.001,6.6,6.601,0.6,NA,0.001,NA,NA,NA,NA,NA,NA,0.001,NA
RF12,15GO020,2015,GO (29),20,Brazabrantes,-16.42875,-49.385889,BRS Sinuelo,Irrigated,rice,flour,3,3,0,5,11,FCSC+FFSC+FIESC,NA,NA,NA,NA,NA,NA,NA,NA,44.9,NA,NA,NA,NA,43.3,NA,NA
RF13,15GO021,2015,GO (29),21,Brazabrantes,-16.42875,-49.385889,Epagri 108,Irrigated,rice,flour,1,0,0,3,4,FCSC+FIESC,NA,NA,NA,2.7,2.7,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
RF14,15GO023,2015,GO (29),23,Brazabrantes,-16.42875,-49.385889,SCS 115 CL,Irrigated,rice,flour,1,0,0,4,5,FCSC+FIESC,NA,NA,NA,6.2,6.2,0.001,NA,NA,15.4,NA,NA,NA,NA,10.7,NA,NA
RF15,15GO024,2015,GO (29),24,Brazabrantes,-16.42875,-49.385889,Epagri 109,Irrigated,rice,flour,1,0,0,0,1,FCSC,NA,NA,NA,1.4,1.4,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA
RF16,15GO026,2015,GO (29),26,Brazabrantes,-16.42875,-49.385889,BR Irga 409,Irrigated,rice,flour,1,0,0,3,4,FCSC+FIESC,NA,NA,NA,2.6,2.6,NA,NA,0.001,4,NA,NA,NA,NA,32,NA,NA
RF17,15GO027,2015,GO (29),27,Brazabrantes,-16.42875,-49.385889,BRS Fronteira,Irrigated,rice,flour,2,0,0,1,3,FCSC+FIESC,NA,NA,NA,1,1,NA,NA,0.001,NA,NA,NA,NA,NA,12.6,NA,NA
RF18,15GO028,2015,GO (29),28,Brazabrantes,-16.42875,-49.385889,SCS 118 Marques,Irrigated,rice,flour,0,0,0,0,0,None,NA,NA,NA,0.6,0.6,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
RF19,15GO029,2015,GO (29),29,Brazabrantes,-16.42875,-49.385889,SCS 114 Andosan,Irrigated,rice,flour,2,0,0,0,2,FCSC,NA,NA,NA,5.2,5.2,NA,NA,0.001,NA,0.001,NA,NA,NA,1.8,0.001,NA
RF20,15GO030,2015,GO (29),30,Brazabrantes,-16.42875,-49.385889,Irga 424,Irrigated,rice,flour,1,0,0,1,2,FCSC+FIESC,NA,NA,0.001,1.4,1.401,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA
RF21,15GO031,2015,GO (29),31,Brazabrantes,-16.42875,-49.385889,Irga 410,Irrigated,rice,flour,1,0,0,5,6,FCSC+FIESC,NA,NA,0.001,NA,0.001,0.7,NA,0.9,NA,NA,0.001,NA,NA,52.9,NA,NA
RF22,15GO035,2015,GO (29),35,Brazabrantes,-16.42875,-49.385889,Irga 425,Irrigated,rice,flour,1,1,0,0,2,FCSC+FFSC,NA,NA,NA,3.4,3.4,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA
RF23,15GO036,2015,GO (29),36,Brazabrantes,-16.42875,-49.385889,BRS Pampa,Irrigated,rice,flour,4,0,0,0,4,FCSC,NA,NA,7.3,4.2,11.5,NA,NA,NA,NA,NA,NA,NA,NA,11.7,NA,NA
RF24,15GO037,2015,GO (29),37,Brazabrantes,-16.42875,-49.385889,Puitá Inta CL,Irrigated,rice,flour,1,0,0,2,3,FCSC+FIESC,NA,NA,NA,9.5,9.5,0.8,NA,NA,14.3,NA,NA,NA,NA,20.1,NA,NA
RF25,15GO038,2015,GO (29),38,Brazabrantes,-16.42875,-49.385889,Irga 423,Irrigated,rice,flour,1,0,0,0,1,FCSC,NA,NA,10.7,1.8,12.5,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA
RF26,15GO039,2015,GO (29),39,Brazabrantes,-16.42875,-49.385889,Irga 422 CL,Irrigated,rice,flour,1,0,0,0,1,FCSC,NA,NA,NA,2.1,2.1,1.7,NA,NA,10.7,NA,NA,NA,NA,22.2,NA,NA
RF27,15GO040,2015,GO (29),40,Brazabrantes,-16.42875,-49.385889,Irga 417,Irrigated,rice,flour,1,0,0,0,1,FCSC,NA,NA,NA,NA,NA,0.001,NA,0.7,2.2,NA,NA,NA,NA,54.2,NA,NA
RF28,15GO041,2015,GO (29),41,Brazabrantes,-16.42875,-49.385889,BRS Pelotas,Irrigated,rice,flour,6,1,0,0,7,FCSC+FFSC,NA,NA,13.5,2.3,15.8,0.8,NA,0.001,0.1,NA,NA,NA,NA,3.8,NA,NA
RF29,15GO042,2015,GO (29),42,Brazabrantes,-16.42875,-49.385889,BRS Firmeza,Irrigated,rice,flour,2,2,0,1,5,FCSC+FFSC+FIESC,NA,NA,0.001,NA,0.001,NA,NA,0.001,NA,NA,NA,NA,NA,29.9,NA,NA
RF30,15GO043,2015,GO (29),43,Brazabrantes,-16.42875,-49.385889,BRS Chuí,Irrigated,rice,flour,1,0,0,0,1,FCSC,NA,NA,0.001,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
RF32,15GO046,2015,GO (29),46,Brazabrantes,-16.42875,-49.385889,BRS Querência,Irrigated,rice,flour,2,0,0,0,2,FCSC,NA,NA,NA,4.1,4.1,NA,NA,NA,0.2,NA,NA,NA,NA,4.2,NA,0.001
RF36,15MT001,2015,MT (11),1,Sinop,-11.84806,-55.649167,BRS Pepita,High lands,Brachiaria ruziziensis,flour,0,0,0,1,1,FIESC,NA,0.001,0.001,4.3,4.301,NA,NA,1.2,27.6,NA,NA,NA,NA,100,NA,NA
RF37,15MT002,2015,MT (11),2,Sinop,-11.84806,-55.649167,BRS Primavera,High lands,Brachiaria ruziziensis,flour,2,1,0,5,8,FCSC+FFSC+FIESC,NA,NA,0.001,10.9,10.901,NA,NA,0.001,4.4,NA,NA,NA,NA,6.8,NA,NA
RF38,15MT003,2015,MT (11),3,Sinop,-11.84806,-55.649167,AN Cambará,High lands,Brachiaria ruziziensis,flour,0,4,0,1,5,FFSC+FIESC,NA,0.001,NA,4.2,4.2,NA,NA,0.8,20.3,NA,NA,NA,NA,91,NA,NA
RF39,15MT004,2015,MT (11),4,Sinop,-11.84806,-55.649167,BRS Sertaneja,High lands,Brachiaria ruziziensis,flour,5,9,0,3,17,FCSC+FFSC+FIESC,NA,28.1,NA,2.4,2.4,NA,NA,NA,168.1,NA,NA,NA,NA,810.1,NA,NA
RF40,15MT008,2015,MT (11),8,União do Sul,-11.53278,-54.352778,BRS Primavera,High lands,NA,flour,0,3,0,0,3,FFSC,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA
RF41,15MT009,2015,MT (11),9,União do Sul,-11.53278,-54.352778,AN Cambará,High lands,NA,flour,0,1,0,2,3,FFSC+FIESC,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,1.3,NA,NA
RF42,15MT010,2015,MT (11),10,União do Sul,-11.53278,-54.352778,BRS Sertaneja,High lands,NA,flour,0,0,0,0,0,None,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,2.4,0.001,NA
RF50,15RS006,2015,RS (28),6,São Borja,-28.66083,-56.003889,NA,Irrigated,rice,flour,0,0,0,1,1,FIESC,NA,NA,NA,NA,NA,0.7,NA,NA,0.1,NA,NA,NA,NA,0.001,NA,NA
RF51,15RS009,2015,RS (28),9,Camaquã,-30.85070,-51.814601,NA,Irrigated,rice,flour,0,0,0,0,0,None,NA,0.001,0.001,0.9,0.901,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA
RF52,15RS011,2015,RS (28),11,Alegrete,-29.79583,-55.788229,NA,Irrigated,rice,flour,0,0,0,0,0,None,NA,NA,NA,2.3,2.3,0.9,NA,0.001,NA,0.001,NA,NA,NA,0.001,NA,NA
RF53,15RS012,2015,RS (28),12,Maçambará,-29.14278,-56.065,NA,Irrigated,rice,flour,0,0,1,1,2,FGSC+FIESC,NA,NA,NA,8.8,8.8,3.3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
RF54,15RS013,2015,RS (28),13,Maçambará,-29.14278,-56.065,NA,Irrigated,rice,flour,0,0,0,2,2,FIESC,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,0.001,NA,NA,6.2,NA,0.001
RF55,15RS014,2015,RS (28),14,Uruguaiana,-29.75500,-57.087778,NA,Irrigated,rice,flour,0,0,0,1,1,FIESC,NA,NA,NA,7.4,7.4,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RF56,15RS015,2015,RS (28),15,Uruguaiana,-29.75500,-57.087778,NA,Irrigated,rice,flour,0,2,0,0,2,FFSC,NA,NA,NA,6.1,6.1,0.7,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA
RF57,15RS016,2015,RS (28),16,Quaraí,-30.38778,-56.450833,NA,Irrigated,rice,flour,0,2,0,0,2,FFSC,NA,NA,8.2,NA,8.2,1.6,0.6,NA,NA,NA,NA,NA,NA,2,NA,NA
RF58,15RS017,2015,RS (28),17,Uruguaiana,-29.75500,-57.087778,NA,Irrigated,rice,flour,0,0,0,0,0,None,NA,NA,NA,2,2,2.8,0.6,NA,NA,NA,NA,NA,NA,0.7,NA,NA
RF59,15RS018,2015,RS (28),18,Itaqui,-29.12500,-56.552778000000004,NA,Irrigated,rice,flour,0,0,0,0,0,None,NA,NA,0.001,NA,0.001,3.7,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA
RF60,15RS019,2015,RS (28),19,Quaraí,-30.38778,-56.450833,NA,Irrigated,rice,flour,0,0,0,0,0,None,NA,NA,NA,8.6,8.6,2.1,NA,NA,0.1,NA,NA,NA,NA,13,NA,NA
RF62,15RS024,2015,RS (28),24,São Gabriel,-30.33583,-54.32,NA,Irrigated,rice,flour,0,0,0,0,0,None,NA,NA,125.2,17,142.2,2.7,NA,0.001,21.6,NA,0.5,NA,NA,25.1,NA,NA
RF63,15RS033,2015,RS (28),33,Camaquã,-30.85070,-51.814601,NA,Irrigated,rice,flour,0,0,0,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA
RF64,15RS034,2015,RS (28),34,Camaquã,-30.85070,-51.814601,NA,Irrigated,rice,flour,0,0,0,1,1,FIESC,NA,NA,NA,11.8,11.8,1,NA,NA,NA,0.001,NA,NA,NA,7.8,NA,NA
RF69,15RS043,2015,RS (28),43,Santa Vitória do Palmar,-33.52588,-53.372174,NA,Irrigated,rice,flour,0,0,0,1,1,FIESC,NA,NA,NA,6,6,1.6,NA,NA,0.1,NA,NA,NA,NA,2.9,NA,NA
RF70,15RS045,2015,RS (28),45,Arroio Grande,-32.23316,-53.086694,NA,Irrigated,rice,flour,0,2,0,1,3,FFSC+FIESC,NA,NA,NA,3.1,3.1,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,NA
RF71,15RS046,2015,RS (28),46,Arroio Grande,-32.23316,-53.086694,NA,Irrigated,rice,flour,0,0,0,2,2,FIESC,NA,NA,NA,2.7,2.7,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA
RF72,15RS047,2015,RS (28),47,Arroio Grande,-32.23316,-53.086694,NA,Irrigated,rice,flour,0,0,0,0,0,None,NA,NA,NA,2.8,2.8,0.9,NA,NA,0.4,NA,NA,NA,NA,3.5,NA,NA
RF73,15RS048,2015,RS (28),48,Santa Vitória do Palmar,-33.52588,-53.372174,NA,Irrigated,rice,flour,1,0,1,0,2,FCSC+FGSC,NA,NA,0.001,NA,0.001,0.6,NA,NA,1.1,NA,NA,NA,NA,4.3,NA,0.001
RF74,15RS049,2015,RS (28),49,Santa Vitória do Palmar,-33.52588,-53.372174,NA,Irrigated,rice,flour,0,1,0,1,2,FFSC+FIESC,NA,NA,NA,2.6,2.6,2.6,0.5,NA,NA,NA,NA,NA,NA,7.1,NA,NA
RF99,15TO001,2015,TO (7),1,Formoso do Araguaia,-11.81659,-49.518927,NA,High lands,rice,flour,0,0,0,2,2,FIESC,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,0.001
RF100,15TO003,2015,TO (7),3,Formoso do Araguaia,-11.81659,-49.518927,NA,High lands,rice,flour,0,1,0,1,2,FFSC+FIESC,NA,NA,NA,0.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA
RF101,15TO004,2015,TO (7),4,Formoso do Araguaia,-11.81659,-49.518927,NA,High lands,rice,flour,0,1,0,2,3,FFSC+FIESC,NA,NA,NA,2.8,2.8,1.9,NA,NA,100.3,NA,NA,NA,NA,39.7,NA,NA
RF33,16MA001,2016,MA (3),1,Paraibano,-6.43278,-43.983889,Caiapo,High lands,NA,flour,0,0,0,1,1,FIESC,NA,NA,NA,13.7,13.7,0.7,NA,NA,NA,NA,0.001,NA,NA,2.2,NA,NA
RF34,16MA003,2016,MA (3),3,Paraibano,-6.43278,-43.983889,Caiapo,high lands,NA,flour,0,1,0,1,2,FFSC+FIESC,NA,NA,NA,4.5,4.5,3.6,NA,NA,NA,NA,NA,NA,NA,0.001,NA,NA
RF35,16MA004,2016,MA (3),4,Paraibano,-6.43278,-43.983889,Caiapo,high lands,NA,flour,0,1,0,2,3,FFSC+FIESC,NA,NA,0.001,3.1,3.101,0.5,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA
RF43,16MT001,2016,MT (11),1,Alta Floresta,-9.87646,-56.085509,AN Cambará,NA,NA,flour,0,0,0,0,0,None,NA,0.001,NA,1.2,1.2,2.7,0.6,NA,5.8,NA,NA,NA,NA,30.4,0.001,NA
RF44,16MT002,2016,MT (11),2,Tangará da Serra,-14.61889,-57.485833,Sertaneja,NA,NA,flour,0,0,0,1,1,FIESC,NA,NA,NA,0.1,0.1,0.001,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA
RF45,16MT003,2016,MT (11),3,Alta Floresta,-9.87646,-56.085509,AN Cambará,NA,NA,flour,0,0,0,2,2,FIESC,NA,1.9,NA,1.6,1.6,0.9,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA
RF46,16MT005,2016,MT (11),5,Tangará da Serra,-14.61889,-57.485833,Esmeralda,NA,NA,flour,0,1,0,0,1,FFSC,NA,NA,NA,1.9,1.9,NA,NA,NA,469.1,NA,NA,NA,NA,7.5,NA,NA
RF47,16RR004,2016,RR (1),4,Boa Vista,2.82351,-60.675833,Embrapa,NA,NA,flour,0,3,0,2,5,FFSC+FIESC,NA,2.6,NA,1.3,1.3,1,NA,NA,63,NA,NA,NA,NA,68.3,4.1,NA
RF75,16RS001,2016,RS (28),1,Glorinha,-29.90466,-50.783363,Irga 424,Irrigated,pasture,flour,2,0,0,2,4,FCSC+FIESC,NA,NA,0.001,1.8,1.801,NA,NA,0.001,NA,NA,NA,NA,NA,1.7,NA,NA
RF77,16RS003,2016,RS (28),3,Santa Maria,-29.70447,-53.709104,Irga 424 RI,Irrigated,pasture,flour,1,0,2,3,6,FCSC+FGSC+FIESC,NA,NA,NA,2.9,2.9,2.4,NA,NA,NA,NA,NA,NA,NA,6.1,NA,NA
RF78,16RS004,2016,RS (28),4,Palma,-29.75933,-53.529534,Irga 424,Irrigated,rice,flour,1,0,10,3,14,FCSC+FGSC+FIESC,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,6.1,NA,NA
RF79,16RS005,2016,RS (28),5,São Sepé,-29.95517,-53.704804,Irga 424,Irrigated,rice,flour,0,0,9,2,11,FGSC+FIESC,NA,NA,0.001,1.5,1.501,NA,NA,NA,NA,NA,NA,NA,NA,7.8,NA,NA
RF80,16RS006,2016,RS (28),6,Pelotas,-31.63725,-52.188264,Irga 424 RI,Irrigated,rice,flour,1,0,3,0,4,FCSC+FGSC,NA,NA,0.001,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,30.2,NA,NA
RF81,16RS007,2016,RS (28),7,Pelotas,-31.61463,-52.16738,Puitá,Irrigated,rice,flour,1,0,0,1,2,FCSC+FIESC,NA,NA,NA,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,2.1,NA,NA
RF82,16RS008,2016,RS (28),8,Pelotas,-31.61123,-52.150841,Guri,Irrigated,rice,flour,0,0,3,1,4,FGSC+FIESC,NA,NA,NA,2.2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA
RF83,16RS010,2016,RS (28),10,Arambaré,-30.89048,-51.698051,Irga 424,Irrigated,rice,flour,0,0,2,0,2,FGSC,NA,NA,NA,0.2,0.2,0.001,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
RF84,16SC001,2016,SC (9),1,Itajaí,-26.95207,-48.761912,Epagri 105,Irrigated,rice,flour,2,8,15,4,29,FCSC+FFSC+FGSC+FIESC,NA,NA,NA,0.9,0.9,NA,0.5,0.001,17.6,NA,NA,NA,NA,1.5,NA,NA
RF85,16SC002,2016,SC (9),2,Itajaí,-27.03179,-48.857191,SCS 121 CL,Irrigated,rice,flour,0,1,2,1,4,FFSC+FGSC+FIESC,NA,NA,NA,5.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,0.001,NA,NA
RF86,16SC003,2016,SC (9),3,Itajaí,-26.96632,-48.766553,SCS 112,Irrigated,rice,flour,0,11,3,0,14,FFSC+FGSC,NA,NA,NA,1.4,1.4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
RF87,16SC004,2016,SC (9),4,Garuva,-26.06544,-48.847647,SCS BRS Tio Taca,Irrigated,rice,flour,0,5,1,0,6,FFSC+FGSC,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,0.001,NA,NA,0.1,NA,NA
RF89,16SC006,2016,SC (9),6,Nova Veneza,-28.66945,-49.585605,SCS BRS Tio Taca,Irrigated,rice,flour,0,4,7,0,11,FFSC+FGSC,NA,6.2,NA,3.7,3.7,NA,0.6,0.001,1.6,NA,NA,NA,NA,1.2,NA,NA
RF90,16SC007,2016,SC (9),7,Nova Veneza,-28.66825,-49.586552,SCS 121 CL,Irrigated,rice,flour,1,10,5,4,20,FCSC+FFSC+FGSC+FIESC,NA,NA,0.001,NA,0.001,0.6,NA,0.001,0.7,NA,NA,NA,NA,1.6,NA,NA
RF91,16SC008,2016,SC (9),8,Nova Veneza,-28.72970,-49.597313,SCS 116 Satoru,Irrigated,rice,flour,0,4,9,2,15,FFSC+FGSC+FIESC,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,NA,NA,NA,5.3,NA,NA
RF92,16SC009,2016,SC (9),9,Nova Veneza,-28.72970,-49.597313,Epagri 109,Irrigated,rice,flour,1,1,6,0,8,FCSC+FFSC+FGSC,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,1.7,NA,NA
RF93,16SC010,2016,SC (9),10,Jacinto Machado,-28.95016,-49.764175,SCS 112,Irrigated,rice,flour,0,2,6,0,8,FFSC+FGSC,NA,NA,0.001,NA,0.001,NA,0.5,NA,32.4,NA,NA,NA,NA,1.8,NA,NA
RF94,16SP001,2016,SP (5),1,Roseira,-22.900797 ,-45.308995,Ricetec,Irrigated,rice,flour,0,0,0,0,0,NONE,NA,NA,0.001,NA,0.001,NA,NA,NA,18.5,NA,NA,NA,NA,14.2,NA,NA
RF95,16SP002,2016,SP (5),2,Roseira,-22.900797 ,-45.308995,Epagri 117,Irrigated,rice,flour,0,0,0,1,1,FIESC,NA,NA,NA,0.9,0.9,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA
RF96,16SP003,2016,SP (5),3,Roseira,-22.900797 ,-45.308995,Epagri 117,Irrigated,rice,flour,0,0,0,0,0,None,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,7.4,0.001,NA
RF97,16SP004,2016,SP (5),4,Roseira,-22.900797 ,-45.308995,Epagri 117,Irrigated,rice,flour,1,0,0,0,1,FCSC,NA,NA,NA,NA,NA,0.001,NA,NA,19.6,NA,NA,NA,NA,19.3,NA,NA
RF98,16SP005,2016,SP (5),5,Roseira,-22.900797 ,-45.308995,Epagri 109,Irrigated,rice,flour,1,0,0,0,1,FCSC,NA,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA
RF102,16TO002,2016,TO (7),2,Lagoa da Confusão,-10.78394,-48.254094,IRGA 424,Irrigated,"rice, watermelon, soybean",flour,3,0,0,0,3,FCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RF103,16TO003,2016,TO (7),3,Lagoa da Confusão,-10.83779,-48.310597,IRGA 424 RI,Irrigated,NA,flour,3,0,2,0,5,FCSC+FGSC,NA,NA,NA,2.4,2.4,0.001,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
RF104,16TO006,2016,TO (7),6,Lagoa da Confusão,-10.89531,-48.370667,IRGA 424 RI,Irrigated,NA,flour,0,0,0,1,1,FIESC,NA,NA,0.001,NA,0.001,NA,NA,0.001,14.6,NA,NA,NA,NA,10.1,NA,NA
RF105,16TO008,2016,TO (7),8,Formoso do Araguaia,-11.86172,-48.250222,IRGA 424,Irrigated,NA,flour,0,0,0,1,1,FIESC,NA,NA,NA,1.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA
