sample,sample_code,year,state,field,city,lat,lon,cultivar,crop_system,previous_crop,substrate,FCSC,FFSC,FGSC,FIESC,n_isolates,Complex,n_complex,MON,DON,AcDON,DON_total,HT-2,T-2,NEO,ZEA,ENN B,ENN B1,ENN A1,ENN A,BEA,FUM B1,FUM B2
CR01,15GO001,2015,GO (29),1,Brazabrantes,-16.42875,-49.385889,BRS Esmeralda,High lands,soybean,husk,0,0,0,8,8,FIESC,NA,NA,0.001,12.8,12.801,NA,NA,0.5,1.4,NA,NA,NA,NA,0.001,NA,NA
CR02,15GO002,2015,GO (29),2,Brazabrantes,-16.42875,-49.385889,BRS Sertaneja,High lands,soybean,husk,0,1,0,0,1,FFSC,NA,NA,NA,13.8,13.8,0.9,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA
CR03,15GO003,2015,GO (29),3,Brazabrantes,-16.42875,-49.385889,BRS Primavera,High lands,soybean,husk,0,1,0,3,4,FFSC+FIESC,NA,NA,NA,59.4,59.4,1.7,NA,0.001,0.6,NA,NA,NA,NA,0.001,NA,NA
CR05,15GO005,2015,GO (29),5,Brazabrantes,-16.42875,-49.385889,BRS Esmeralda,High lands,soybean,husk,0,0,0,2,2,FIESC,NA,NA,NA,42.7,42.7,NA,NA,0.001,1.2,0.001,NA,NA,NA,NA,NA,NA
CR06,15GO006,2015,GO (29),6,Brazabrantes,-16.42875,-49.385889,BRS Sertaneja,High lands,soybean,husk,0,0,0,5,5,FIESC,NA,NA,NA,11,11,0.8,NA,0.001,0.7,NA,NA,NA,NA,NA,NA,NA
CR07,15GO008,2015,GO (29),8,Brazabrantes,-16.42875,-49.385889,AN Cambará,High lands,soybean,husk,0,1,0,1,2,FFSC+FIESC,NA,NA,NA,59.6,59.6,0.001,NA,0.6,3.6,2.6,1.2,NA,NA,15.3,NA,NA
CR08,15GO010,2015,GO (29),10,Brazabrantes,-16.42875,-49.385889,BRS MG Predileta,Irrigated,rice,husk,0,0,0,5,5,FIESC,NA,NA,0.001,141.5,141.501,3.9,NA,0.001,4.8,NA,0.5,0.001,NA,3.2,NA,NA
CR10,15GO018,2015,GO (29),18,Brazabrantes,-16.42875,-49.385889,BRS Taim,Irrigated,rice,husk,0,0,0,0,0,None,NA,NA,NA,49.7,49.7,3.1,NA,0.001,1,NA,NA,NA,NA,8.8,NA,NA
CR11,15GO019,2015,GO (29),19,Brazabrantes,-16.42875,-49.385889,SCS BRS Tio Taka,Irrigated,rice,husk,0,3,0,2,5,FFSC+FIESC,NA,NA,NA,43.8,43.8,1.3,NA,NA,0.9,NA,NA,NA,NA,6.5,NA,NA
CR12,15GO020,2015,GO (29),20,Brazabrantes,-16.42875,-49.385889,BRS Sinuelo,Irrigated,rice,husk,3,3,0,5,11,FCSC+FFSC+FIESC,NA,NA,9.9,58.3,68.2,0.001,NA,0.001,12,NA,NA,NA,NA,38.1,NA,NA
CR13,15GO021,2015,GO (29),21,Brazabrantes,-16.42875,-49.385889,Epagri 108,Irrigated,rice,husk,1,0,0,3,4,FCSC+FIESC,NA,NA,0.001,43.8,43.801,0.001,NA,0.001,0.6,NA,NA,NA,NA,2.5,NA,NA
CR14,15GO023,2015,GO (29),23,Brazabrantes,-16.42875,-49.385889,SCS 115 CL,Irrigated,rice,husk,1,0,0,4,5,FCSC+FIESC,NA,NA,0.001,57.1,57.101,1.7,NA,0.001,7.4,NA,NA,NA,NA,9.5,NA,NA
CR15,15GO024,2015,GO (29),24,Brazabrantes,-16.42875,-49.385889,Epagri 109,Irrigated,rice,husk,1,0,0,0,1,FCSC,NA,NA,0.001,56.6,56.601,NA,NA,0.001,1,NA,NA,NA,NA,1.6,NA,NA
CR16,15GO026,2015,GO (29),26,Brazabrantes,-16.42875,-49.385889,BR Irga 409,Irrigated,rice,husk,1,0,0,3,4,FCSC+FIESC,NA,NA,NA,85.4,85.4,2.1,NA,NA,1.6,NA,NA,NA,NA,24.6,NA,NA
CR17,15GO027,2015,GO (29),27,Brazabrantes,-16.42875,-49.385889,BRS Fronteira,Irrigated,rice,husk,2,0,0,1,3,FCSC+FIESC,NA,NA,8.5,59.8,68.3,NA,NA,0.001,0.8,NA,NA,NA,NA,6,NA,0.001
CR18,15GO028,2015,GO (29),28,Brazabrantes,-16.42875,-49.385889,SCS 118 Marques,Irrigated,rice,husk,0,0,0,0,0,None,NA,NA,NA,97.6,97.6,1.1,NA,NA,0.9,NA,NA,NA,NA,2.1,NA,NA
CR19,15GO029,2015,GO (29),29,Brazabrantes,-16.42875,-49.385889,SCS 114 Andosan,Irrigated,rice,husk,2,0,0,0,2,FCSC,NA,NA,NA,36.7,36.7,1.4,NA,0.001,1.1,NA,NA,NA,NA,2,NA,NA
CR20,15GO030,2015,GO (29),30,Brazabrantes,-16.42875,-49.385889,Irga 424,Irrigated,rice,husk,1,0,0,1,2,FCSC+FIESC,NA,NA,NA,131.1,131.1,1.1,NA,0.6,1.3,NA,NA,NA,0.001,2.8,NA,NA
CR21,15GO031,2015,GO (29),31,Brazabrantes,-16.42875,-49.385889,Irga 410,Irrigated,rice,husk,1,0,0,5,6,FCSC+FIESC,NA,NA,NA,122.9,122.9,1.4,NA,0.8,2.4,NA,NA,NA,NA,40.5,NA,0.001
CR22,15GO035,2015,GO (29),35,Brazabrantes,-16.42875,-49.385889,Irga 425,Irrigated,rice,husk,1,1,0,0,2,FCSC+FFSC,NA,NA,NA,78.9,78.9,0.7,NA,0.001,1.5,NA,NA,NA,NA,2.9,NA,NA
CR23,15GO036,2015,GO (29),36,Brazabrantes,-16.42875,-49.385889,BRS Pampa,Irrigated,rice,husk,4,0,0,0,4,FCSC,NA,NA,NA,90.4,90.4,1.3,NA,0.001,1,NA,NA,NA,NA,9.7,NA,NA
CR24,15GO037,2015,GO (29),37,Brazabrantes,-16.42875,-49.385889,Puitá Inta CL,Irrigated,rice,husk,1,0,0,2,3,FCSC+FIESC,NA,NA,NA,153,153,4.5,NA,1.4,17.7,NA,NA,NA,NA,24.5,NA,NA
CR25,15GO038,2015,GO (29),38,Brazabrantes,-16.42875,-49.385889,Irga 423,Irrigated,rice,husk,1,0,0,0,1,FCSC,NA,NA,NA,96.7,96.7,NA,NA,0.001,0.7,NA,NA,0.001,NA,0.001,NA,NA
CR26,15GO039,2015,GO (29),39,Brazabrantes,-16.42875,-49.385889,Irga 422 CL,Irrigated,rice,husk,1,0,0,0,1,FCSC,NA,NA,0.001,12,12.001,1.1,NA,0.001,2,NA,NA,0.001,NA,6.4,NA,NA
CR27,15GO040,2015,GO (29),40,Brazabrantes,-16.42875,-49.385889,Irga 417,Irrigated,rice,husk,1,0,0,0,1,FCSC,NA,NA,0.001,17.1,17.101,1.7,NA,NA,1.2,NA,NA,0.001,NA,23.2,0.001,NA
CR28,15GO041,2015,GO (29),41,Brazabrantes,-16.42875,-49.385889,BRS Pelotas,Irrigated,rice,husk,6,1,0,0,7,FCSC+FFSC,NA,NA,0.001,49.7,49.701,NA,NA,0.001,0.6,NA,NA,NA,NA,1.8,NA,0.001
CR29,15GO042,2015,GO (29),42,Brazabrantes,-16.42875,-49.385889,BRS Firmeza,Irrigated,rice,husk,2,2,0,1,5,FCSC+FFSC+FIESC,NA,NA,NA,61.4,61.4,0.001,NA,0.001,0.9,NA,NA,NA,NA,6.7,NA,NA
CR30,15GO043,2015,GO (29),43,Brazabrantes,-16.42875,-49.385889,BRS Chuí,Irrigated,rice,husk,1,0,0,0,1,FCSC,NA,NA,0.001,37.9,37.901,NA,NA,NA,0.8,NA,NA,NA,NA,8.7,NA,NA
CR32,15GO046,2015,GO (29),46,Brazabrantes,-16.42875,-49.385889,BRS Querência,Irrigated,rice,husk,2,0,0,0,2,FCSC,NA,NA,0.001,82.4,82.401,0.001,NA,0.001,0.9,NA,NA,NA,NA,2.8,NA,NA
CR36,15MT001,2015,MT (11),1,Sinop,-11.84806,-55.649167,BRS Pepita,High lands,Brachiaria ruziziensis,husk,0,0,0,1,1,FIESC,NA,NA,0.001,71,71.001,NA,NA,1.7,14.1,NA,NA,NA,NA,39.7,NA,0.001
CR37,15MT002,2015,MT (11),2,Sinop,-11.84806,-55.649167,BRS Primavera,High lands,Brachiaria ruziziensis,husk,2,1,0,5,8,FCSC+FFSC+FIESC,NA,NA,NA,38.7,38.7,NA,NA,0.001,2.9,NA,NA,NA,NA,9.9,NA,NA
CR38,15MT003,2015,MT (11),3,Sinop,-11.84806,-55.649167,AN Cambará,High lands,Brachiaria ruziziensis,husk,0,4,0,1,5,FFSC+FIESC,NA,NA,NA,40.5,40.5,0.7,NA,0.001,7.8,NA,NA,NA,NA,57.6,NA,0.001
CR39,15MT004,2015,MT (11),4,Sinop,-11.84806,-55.649167,BRS Sertaneja,High lands,Brachiaria ruziziensis,husk,5,9,0,3,17,FCSC+FFSC+FIESC,NA,13.3,NA,48.9,48.9,NA,NA,1.5,28.4,NA,NA,NA,NA,110.4,NA,NA
CR40,15MT008,2015,MT (11),8,União do Sul,-11.53278,-54.352778,BRS Primavera,High lands,NA,husk,0,3,0,0,3,FFSC,NA,NA,NA,63.5,63.5,0.8,NA,0.001,0.6,NA,NA,NA,NA,1.2,NA,NA
CR41,15MT009,2015,MT (11),9,União do Sul,-11.53278,-54.352778,AN Cambará,High lands,NA,husk,0,1,0,2,3,FFSC+FIESC,NA,NA,NA,25.7,25.7,0.001,NA,NA,0.9,NA,NA,NA,NA,0.001,NA,NA
CR42,15MT010,2015,MT (11),10,União do Sul,-11.53278,-54.352778,BRS Sertaneja,High lands,NA,husk,0,0,0,0,0,None,NA,NA,NA,11,11,0.6,NA,0.8,1,NA,NA,NA,NA,0.001,NA,NA
CR50,15RS006,2015,RS (28),6,São Borja,-28.66083,-56.003889,NA,Irrigated,rice,husk,0,0,0,1,1,FIESC,NA,NA,NA,10,10,0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA
CR51,15RS009,2015,RS (28),9,Camaquã,-30.85070,-51.814601,NA,Irrigated,rice,husk,0,0,0,0,0,None,NA,NA,NA,152.1,152.1,0.001,NA,0.001,1,NA,NA,0.001,NA,0.001,NA,NA
CR52,15RS011,2015,RS (28),11,Alegrete,-29.79583,-55.788229,NA,Irrigated,rice,husk,0,0,0,0,0,None,NA,NA,NA,145,145,3.9,NA,1.6,2.3,NA,NA,NA,NA,0.001,NA,2.2
CR53,15RS012,2015,RS (28),12,Maçambará,-29.14278,-56.065,NA,Irrigated,rice,husk,0,0,1,1,2,FGSC+FIESC,NA,NA,NA,44.6,44.6,3.4,NA,1.4,1,NA,NA,0.001,0.001,2.9,NA,2.9
CR54,15RS013,2015,RS (28),13,Maçambará,-29.14278,-56.065,NA,Irrigated,rice,husk,0,0,0,2,2,FIESC,NA,NA,0.001,122.8,122.801,1.6,NA,0.001,0.6,NA,NA,NA,NA,NA,NA,NA
CR55,15RS014,2015,RS (28),14,Uruguaiana,-29.75500,-57.087778,NA,Irrigated,rice,husk,0,0,0,1,1,FIESC,NA,NA,NA,115.2,115.2,6.2,NA,1,1,NA,NA,0.001,NA,2.4,NA,3.4
CR56,15RS015,2015,RS (28),15,Uruguaiana,-29.75500,-57.087778,NA,Irrigated,rice,husk,0,2,0,0,2,FFSC,NA,NA,0.001,118.5,118.501,2.1,NA,0.8,0.9,NA,NA,0.001,NA,2.7,NA,0.001
CR57,15RS016,2015,RS (28),16,Quaraí,-30.38778,-56.450833,NA,Irrigated,rice,husk,0,2,0,0,2,FFSC,NA,NA,8.1,116.4,124.5,2.5,NA,0.5,1,NA,NA,NA,NA,1.7,NA,NA
CR58,15RS017,2015,RS (28),17,Uruguaiana,-29.75500,-57.087778,NA,Irrigated,rice,husk,0,0,0,0,0,None,NA,NA,NA,67.5,67.5,1.5,NA,0.001,0.7,NA,NA,0.001,NA,NA,NA,0.001
CR59,15RS018,2015,RS (28),18,Itaqui,-29.12500,-56.552778000000004,NA,Irrigated,rice,husk,0,0,0,0,0,None,NA,NA,8.3,51.5,59.8,7,NA,0.001,1,NA,NA,NA,NA,3.5,NA,NA
CR60,15RS019,2015,RS (28),19,Quaraí,-30.38778,-56.450833,NA,Irrigated,rice,husk,0,0,0,0,0,None,NA,NA,NA,43.5,43.5,3.7,NA,0.5,0.6,NA,NA,NA,NA,3.6,NA,NA
CR62,15RS024,2015,RS (28),24,São Gabriel,-30.33583,-54.32,NA,Irrigated,rice,husk,0,0,0,0,0,None,NA,NA,23.7,76.2,99.9,3.9,NA,0.001,14.3,NA,NA,0.001,NA,3.4,NA,NA
CR63,15RS033,2015,RS (28),33,Camaquã,-30.85070,-51.814601,NA,Irrigated,rice,husk,0,0,0,0,0,None,NA,NA,5.3,19.4,24.7,1.4,NA,0.001,1,NA,NA,0.001,NA,2.5,NA,NA
CR64,15RS034,2015,RS (28),34,Camaquã,-30.85070,-51.814601,NA,Irrigated,rice,husk,0,0,0,1,1,FIESC,NA,NA,NA,NA,NA,0.001,NA,0.001,0.6,NA,NA,NA,NA,1.8,NA,NA
CR69,15RS043,2015,RS (28),43,Santa Vitória do Palmar,-33.52588,-53.372174,NA,Irrigated,rice,husk,0,0,0,1,1,FIESC,NA,NA,NA,109.6,109.6,0.001,NA,0.001,0.9,NA,NA,NA,NA,1.2,NA,NA
CR70,15RS045,2015,RS (28),45,Arroio Grande,-32.23316,-53.086694,NA,Irrigated,rice,husk,0,2,0,1,3,FFSC+FIESC,NA,NA,8.8,15.5,24.3,0.9,NA,NA,0.6,NA,NA,0.001,NA,1.1,NA,NA
CR71,15RS046,2015,RS (28),46,Arroio Grande,-32.23316,-53.086694,NA,Irrigated,rice,husk,0,0,0,2,2,FIESC,NA,NA,0.001,22.3,22.301,0.9,NA,0.001,1.3,NA,NA,NA,NA,1.3,NA,NA
CR72,15RS047,2015,RS (28),47,Arroio Grande,-32.23316,-53.086694,NA,Irrigated,rice,husk,0,0,0,0,0,None,NA,NA,8.7,15.9,24.6,3.8,NA,NA,1.2,NA,NA,NA,NA,0.001,NA,NA
CR73,15RS048,2015,RS (28),48,Santa Vitória do Palmar,-33.52588,-53.372174,NA,Irrigated,rice,husk,1,0,1,0,2,FCSC+FGSC,NA,NA,NA,13.9,13.9,2.6,NA,0.001,0.6,NA,NA,NA,NA,0.001,NA,NA
CR74,15RS049,2015,RS (28),49,Santa Vitória do Palmar,-33.52588,-53.372174,NA,Irrigated,rice,husk,0,1,0,1,2,FFSC+FIESC,NA,NA,NA,156,156,6.5,1.4,0.9,0.7,NA,NA,NA,NA,0.001,NA,0.001
CR99,15TO001,2015,TO (7),1,Formoso do Araguaia,-11.81659,-49.518927,NA,High lands,rice,husk,0,0,0,2,2,FIESC,NA,NA,NA,7.5,7.5,NA,NA,0.6,1.2,NA,NA,NA,NA,2.4,NA,NA
CR100,15TO003,2015,TO (7),3,Formoso do Araguaia,-11.81659,-49.518927,NA,High lands,rice,husk,0,1,0,1,2,FFSC+FIESC,NA,NA,NA,36.2,36.2,NA,NA,0.001,0.001,NA,NA,NA,NA,0.001,NA,NA
CR101,15TO004,2015,TO (7),4,Formoso do Araguaia,-11.81659,-49.518927,NA,High lands,rice,husk,0,1,0,2,3,FFSC+FIESC,NA,NA,0.001,32.1,32.101,0.8,NA,0.7,18.7,NA,NA,NA,NA,21.7,NA,NA
CR33,16MA001,2016,MA (3),1,Paraibano,-6.43278,-43.983889,Caiapo,sequeiro,NA,husk,0,0,0,1,1,FIESC,NA,NA,NA,51.3,51.3,4.8,NA,0.5,1.4,NA,NA,NA,NA,1.2,NA,NA
CR34,16MA003,2016,MA (3),3,Paraibano,-6.43278,-43.983889,Caiapo,sequeiro,NA,husk,0,1,0,1,2,FFSC+FIESC,NA,NA,NA,16.6,16.6,2.9,NA,2.2,1,NA,NA,NA,NA,NA,NA,NA
CR35,16MA004,2016,MA (3),4,Paraibano,-6.43278,-43.983889,Caiapo,sequeiro,NA,husk,0,1,0,2,3,FFSC+FIESC,NA,NA,NA,36,36,11.2,NA,0.9,1.9,NA,NA,0.001,NA,0.001,NA,NA
CR43,16MT001,2016,MT (11),1,Alta Floresta,-9.87646,-56.085509,AN Cambará,NA,NA,husk,0,0,0,0,0,None,NA,NA,8.1,56.3,64.4,3,NA,0.001,6.7,NA,NA,NA,NA,8.1,NA,NA
CR44,16MT002,2016,MT (11),2,Tangará da Serra,-14.61889,-57.485833,Sertaneja,NA,NA,husk,0,0,0,1,1,FIESC,NA,0.001,0.001,33.7,33.701,1.5,NA,0.001,1.3,NA,NA,NA,NA,NA,NA,NA
CR45,16MT003,2016,MT (11),3,Alta Floresta,-9.87646,-56.085509,AN Cambará,NA,NA,husk,0,0,0,2,2,FIESC,NA,NA,NA,43.1,43.1,4.9,NA,0.001,1.3,NA,NA,NA,NA,0.001,NA,NA
CR46,16MT005,2016,MT (11),5,Tangará da Serra,-14.61889,-57.485833,Esmeralda,NA,NA,husk,0,1,0,0,1,FFSC,NA,NA,NA,47.6,47.6,1.7,NA,0.5,34.6,NA,NA,NA,NA,5.5,NA,NA
CR47,16RR004,2016,RR (1),4,Boa Vista,2.82351,-60.675833,Embrapa,NA,NA,husk,0,3,0,2,5,FFSC+FIESC,NA,NA,NA,60.6,60.6,0.6,NA,0.001,6,NA,NA,NA,NA,8.3,NA,NA
CR75,16RS001,2016,RS (28),1,Glorinha,-29.90466,-50.783363,Irga 424,Irrigated,pasture,husk,2,0,0,2,4,FCSC+FIESC,NA,NA,NA,8.8,8.8,1.5,NA,0.2,0.9,NA,NA,NA,NA,0.001,NA,NA
CR77,16RS003,2016,RS (28),3,Santa Maria,-29.70447,-53.709104,Irga 424 RI,Irrigated,pasture,husk,1,0,2,3,6,FCSC+FGSC+FIESC,NA,NA,NA,11.8,11.8,3.8,NA,0.001,1.1,NA,NA,NA,NA,2.6,NA,NA
CR78,16RS004,2016,RS (28),4,Palma,-29.75933,-53.529534,Irga 424,Irrigated,rice,husk,1,0,10,3,14,FCSC+FGSC+FIESC,NA,NA,NA,44.3,44.3,2.1,NA,0.6,1.3,NA,NA,NA,NA,0.001,NA,NA
CR79,16RS005,2016,RS (28),5,São Sepé,-29.95517,-53.704804,Irga 424,Irrigated,rice,husk,0,0,9,2,11,FGSC+FIESC,NA,NA,NA,9.4,9.4,2.3,NA,0.001,1.4,NA,NA,NA,NA,2.8,NA,NA
CR80,16RS006,2016,RS (28),6,Pelotas,-31.63725,-52.188264,Irga 424 RI,Irrigated,rice,husk,1,0,3,0,4,FCSC+FGSC,NA,NA,NA,59.2,59.2,2.1,NA,0.7,1.6,NA,NA,NA,NA,11.1,NA,0.001
CR81,16RS007,2016,RS (28),7,Pelotas,-31.61463,-52.16738,Puitá,Irrigated,rice,husk,1,0,0,1,2,FCSC+FIESC,NA,NA,NA,31.5,31.5,0.6,NA,0.001,0.8,NA,NA,NA,NA,0.001,NA,NA
CR82,16RS008,2016,RS (28),8,Pelotas,-31.61123,-52.150841,Guri,Irrigated,rice,husk,0,0,3,1,4,FGSC+FIESC,NA,NA,NA,67.6,67.6,0.5,NA,0.001,0.8,NA,NA,NA,NA,1.2,NA,NA
CR83,16RS010,2016,RS (28),10,Arambaré,-30.89048,-51.698051,Irga 424,Irrigated,rice,husk,0,0,2,0,2,FGSC,NA,NA,0.001,80.8,80.801,1.9,NA,0.001,1.2,NA,NA,NA,NA,2.5,NA,NA
CR84,16SC001,2016,SC (9),1,Itajaí,-26.95207,-48.761912,Epagri 105,Irrigated,rice,husk,2,8,15,4,29,FCSC+FFSC+FGSC+FIESC,NA,NA,NA,27,27,0.6,NA,0.001,3.1,NA,NA,NA,NA,8.2,NA,NA
CR85,16SC002,2016,SC (9),2,Itajaí,-27.03179,-48.857191,SCS 121 CL,Irrigated,rice,husk,0,1,2,1,4,FFSC+FGSC+FIESC,NA,NA,NA,31.4,31.4,0.6,NA,0.001,1.4,NA,NA,NA,NA,0.001,NA,NA
CR86,16SC003,2016,SC (9),3,Itajaí,-26.96632,-48.766553,SCS 112,Irrigated,rice,husk,0,11,3,0,14,FFSC+FGSC,NA,NA,NA,44.9,44.9,0.001,NA,0.001,2.9,NA,NA,NA,NA,0.001,NA,0.001
CR87,16SC004,2016,SC (9),4,Garuva,-26.06544,-48.847647,SCS BRS Tio Taca,Irrigated,rice,husk,0,5,1,0,6,FFSC+FGSC,NA,NA,0.001,15.4,15.401,3.5,NA,0.001,1.3,NA,NA,NA,NA,NA,NA,NA
CR89,16SC006,2016,SC (9),6,Nova Veneza,-28.66945,-49.585605,SCS BRS Tio Taca,Irrigated,rice,husk,0,4,7,0,11,FFSC+FGSC,NA,NA,NA,15.3,15.3,NA,NA,0.001,2.1,NA,NA,0.001,NA,NA,NA,NA
CR90,16SC007,2016,SC (9),7,Nova Veneza,-28.66825,-49.586552,SCS 121 CL,Irrigated,rice,husk,1,10,5,4,20,FCSC+FFSC+FGSC+FIESC,NA,NA,0.001,20.4,20.401,1.3,NA,0.001,1.2,NA,NA,NA,NA,0.001,NA,NA
CR91,16SC008,2016,SC (9),8,Nova Veneza,-28.72970,-49.597313,SCS 116 Satoru,Irrigated,rice,husk,0,4,9,2,15,FFSC+FGSC+FIESC,NA,NA,NA,29.2,29.2,NA,NA,NA,1.5,NA,NA,NA,NA,2.5,NA,NA
CR92,16SC009,2016,SC (9),9,Nova Veneza,-28.72970,-49.597313,Epagri 109,Irrigated,rice,husk,1,1,6,0,8,FCSC+FFSC+FGSC,NA,NA,NA,41.7,41.7,0.001,NA,0.001,1.1,NA,NA,NA,NA,1.1,NA,NA
CR93,16SC010,2016,SC (9),10,Jacinto Machado,-28.95016,-49.764175,SCS 112,Irrigated,rice,husk,0,2,6,0,8,FFSC+FGSC,NA,NA,NA,18.2,18.2,2.4,NA,NA,4.8,NA,NA,NA,NA,0.001,NA,NA
CR94,16SP001,2016,SP (5),1,Roseira,-22.900797 ,-45.308995,Ricetec,Irrigated,rice,husk,0,0,0,0,0,None,NA,NA,NA,10.3,10.3,0.9,NA,0.001,2.9,NA,NA,NA,NA,1.6,NA,NA
CR95,16SP002,2016,SP (5),2,Roseira,-22.900797 ,-45.308995,Epagri 117,Irrigated,rice,husk,0,0,0,1,1,FIESC,NA,NA,NA,18.7,18.7,NA,NA,NA,1.7,NA,NA,NA,NA,1.3,NA,0.001
CR96,16SP003,2016,SP (5),3,Roseira,-22.900797 ,-45.308995,Epagri 117,Irrigated,rice,husk,0,0,0,0,0,None,NA,NA,NA,22.6,22.6,NA,NA,NA,0.7,NA,NA,NA,NA,1.5,NA,NA
CR97,16SP004,2016,SP (5),4,Roseira,-22.900797 ,-45.308995,Epagri 117,Irrigated,rice,husk,1,0,0,0,1,FCSC,NA,NA,NA,38.2,38.2,1,NA,0.001,5.2,NA,NA,NA,NA,6.8,NA,NA
CR98,16SP005,2016,SP (5),5,Roseira,-22.900797 ,-45.308995,Epagri 109,Irrigated,rice,husk,1,0,0,0,1,FCSC,NA,0.001,NA,6.6,6.6,NA,NA,0.001,1.1,NA,NA,NA,NA,0.001,NA,NA
CR102,16TO002,2016,TO (7),2,Lagoa da Confusão,-10.78394,-48.254094,IRGA 424,Irrigated,"rice, watermelon, soybean",husk,3,0,0,0,3,FCSC,NA,NA,0.001,19.8,19.801,NA,NA,0.001,0.7,NA,NA,NA,NA,NA,NA,NA
CR103,16TO003,2016,TO (7),3,Lagoa da Confusão,-10.83779,-48.310597,IRGA 424 RI,Irrigated,NA,husk,3,0,2,0,5,FCSC+FGSC,NA,NA,8.2,6.8,15,NA,NA,NA,0.001,NA,NA,NA,NA,0.2,NA,NA
CR104,16TO006,2016,TO (7),6,Lagoa da Confusão,-10.89531,-48.370667,IRGA 424 RI,Irrigated,NA,husk,0,0,0,1,1,FIESC,NA,NA,NA,10.6,10.6,NA,NA,0.001,1.6,NA,NA,NA,NA,3.4,NA,0.001
CR105,16TO008,2016,TO (7),8,Formoso do Araguaia,-11.86172,-48.250222,IRGA 424,Irrigated,NA,husk,0,0,0,1,1,FIESC,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,1.3,NA,NA
